20.8.2020-20:20:27//Kobny joined LOL(Thy Server)
20.8.2020-20:24:44//illneso joined LOL(Thy Server)
20.8.2020-20:41:21//solimm4sks left LOL(Thy Server)
20.8.2020-20:43:22//solimm4sks joined LOL(Thy Server)
20.8.2020-20:44:51//Kobny left LOL(Thy Server)
20.8.2020-20:44:51//solimm4sks left LOL(Thy Server)
20.8.2020-20:44:54//illneso left LOL(Thy Server)
20.8.2020-21:27:39//Carklju joined Chill(Thy Server)
20.8.2020-21:29:12//Carklju left Chill(Thy Server)
20.8.2020-21:51:13//solimm4sks joined LOL(Thy Server)
20.8.2020-21:51:18//solimm4sks left LOL(Thy Server)
20.8.2020-21:51:34//solimm4sks joined LOL(Thy Server)
20.8.2020-21:51:39//illneso joined LOL(Thy Server)
20.8.2020-21:53:45//Kobny joined LOL(Thy Server)
20.8.2020-21:58:0//jarkela joined LOL(Thy Server)
20.8.2020-21:58:15//Groovy joined LOL(Thy Server)
20.8.2020-21:59:41//Vanjanja joined LOL(Thy Server)
20.8.2020-22:0:46//jarkela left LOL(Thy Server)
20.8.2020-22:0:47//jarkela joined LOL(Thy Server)
20.8.2020-22:14:40//illneso left LOL(Thy Server)
20.8.2020-22:14:44//grupajderiAssembleBot joined LOL(Thy Server)
20.8.2020-22:14:48//solimm4sks left LOL(Thy Server)
20.8.2020-22:14:48//grupajderiAssembleBot left LOL(Thy Server)
20.8.2020-22:14:51//solimm4sks joined LOL(Thy Server)
20.8.2020-22:15:20//illneso joined among us(Thy Server)
20.8.2020-22:15:29//Carklju joined LOL(Thy Server)
20.8.2020-22:16:8//Groovy left among us(Thy Server)
20.8.2020-22:16:8//Groovy joined among us(Thy Server)
20.8.2020-22:17:20//illneso left among us(Thy Server)
20.8.2020-22:17:23//SrkiBoyCowboy joined among us(Thy Server)
20.8.2020-22:18:8//NemanjaGemovic joined among us(Thy Server)
20.8.2020-22:18:20//illneso joined Chill(Thy Server)
20.8.2020-22:18:32//illneso left Chill(Thy Server)
20.8.2020-22:18:39//illneso joined Chill(Thy Server)
20.8.2020-22:18:49//grupajderiAssembleBot joined among us(Thy Server)
20.8.2020-22:18:52//grupajderiAssembleBot left among us(Thy Server)
20.8.2020-22:19:13//illneso left Chill(Thy Server)
20.8.2020-22:21:27//NemanjaGemovic left Chill(Thy Server)
20.8.2020-22:21:37//NemanjaGemovic joined Chill(Thy Server)
20.8.2020-22:32:26//grupajderiAssembleBot joined among us(Thy Server)
20.8.2020-22:32:30//grupajderiAssembleBot left among us(Thy Server)
20.8.2020-22:32:42//grupajderiAssembleBot joined among us(Thy Server)
20.8.2020-22:32:45//grupajderiAssembleBot left among us(Thy Server)
20.8.2020-22:38:21//SrkiBoyCowboy left Chill(Thy Server)
20.8.2020-22:38:23//Vanjanja left Chill(Thy Server)
20.8.2020-22:38:36//Vanjanja joined among us(Thy Server)
20.8.2020-22:38:42//SrkiBoyCowboy joined among us(Thy Server)
20.8.2020-22:46:10//grupajderiAssembleBot joined among us(Thy Server)
20.8.2020-22:46:17//grupajderiAssembleBot left among us(Thy Server)
20.8.2020-22:50:57//NemanjaGemovic left among us(Thy Server)
20.8.2020-22:51:8//NemanjaGemovic joined among us(Thy Server)
20.8.2020-23:38:28//jarkela left among us(Thy Server)
20.8.2020-23:38:32//jarkela joined among us(Thy Server)
20.8.2020-23:42:30//Mr. Janja joined among us(Thy Server)
21.8.2020-0:1:33//Mr. Janja left among us(Thy Server)
21.8.2020-0:1:37//Mr. Janja joined among us(Thy Server)
21.8.2020-0:7:27//Mr. Janja left among us(Thy Server)
21.8.2020-0:7:29//Mr. Janja joined among us(Thy Server)
21.8.2020-0:9:29//Mr. Janja left among us(Thy Server)
21.8.2020-0:19:54//Potato. joined among us(Thy Server)
21.8.2020-0:21:27//Potato. left among us(Thy Server)
21.8.2020-0:28:49//SrkiBoyCowboy left among us(Thy Server)
21.8.2020-0:31:22//Kobny left among us(Thy Server)
21.8.2020-0:31:42//NemanjaGemovic left among us(Thy Server)
21.8.2020-0:47:36//Groovy left Chill(Thy Server)
21.8.2020-1:14:19//jarkela left Chill(Thy Server)
21.8.2020-1:14:20//Carklju left Chill(Thy Server)
21.8.2020-1:14:20//solimm4sks left Chill(Thy Server)
21.8.2020-1:14:22//Vanjanja left Chill(Thy Server)
22.8.2020-2:10:27//jarkela left tft-bleja(Thy Server)
22.8.2020-2:10:28//Carklju left tft-bleja(Thy Server)
22.8.2020-20:53:29//jarkela joined tft-bleja(Thy Server)
22.8.2020-20:53:35//jarkela left tft-bleja(Thy Server)
24.8.2020-18:7:21//Urosh joined LOL(Thy Server)
24.8.2020-18:8:7//solimm4sks joined LOL(Thy Server)
24.8.2020-18:9:6//Mr. Janja joined LOL(Thy Server)
24.8.2020-18:49:38//grupajderiAssembleBot joined LOL(Thy Server)
